,pruning threshold,stopping probability,feature drop rate,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
0,5.0,0.028983,0.1,0.02,0.95542,0.22858,1.3296,0.4,3.7778,15.0,2.1274100000000002,No value noise,human-vs-human,1,1,,
1,4.1928,0.040008,0.14851,0.02,0.89348,0.39992,1.5999,0.60007,4.6664,29.999,1.8686899999999997,No value noise,human-vs-human,1,2,,
2,5.0,0.02,0.2,0.023187,0.625,0.4,1.0673,0.3,3.5,15.0,2.17133,No value noise,human-vs-human,1,3,,
3,10.0,0.02,0.3,0.02,1.0,0.8,1.0,0.3,2.5,15.0,2.00504,No value noise,human-vs-human,1,4,,
4,3.3924,0.027549,0.17706,0.021602,1.0,0.4,0.99999,0.4,2.5,10.0,2.2485500000000003,No value noise,human-vs-human,1,5,,
5,7.1631,0.019578,0.29333,0.019778,1.0851,0.40778,0.73504,0.93917,3.3648,14.911,1.98048,No value noise,human-vs-human,2,1,,
6,5.0,0.02,0.16443,0.028421,1.2727,0.4,0.8,0.5,2.5,15.0,1.74619,No value noise,human-vs-human,2,2,,
7,10.0,0.017716,0.21545,0.016667,2.5168,0.30579,0.61842,0.40725,2.7778,30.0,2.01783,No value noise,human-vs-human,2,3,,
8,9.9999,0.016426,0.3,0.02,2.0918,0.4,0.8,0.5,2.5,15.0,2.38652,No value noise,human-vs-human,2,4,,
9,6.1598,0.0069513,0.51805,0.044751,1.3133,0.074107,0.39992,0.4248,3.5718,24.309,2.10223,No value noise,human-vs-human,2,5,,
10,3.0147,0.0105,0.46984,0.03,2.0504,0.8,0.8,0.3,2.5,20.0,1.90597,No value noise,human-vs-human,3,1,,
11,2.8398,0.016231,0.5239,0.03658,1.887,0.34248,1.0455,0.45001,2.6436,11.857,1.95824,No value noise,human-vs-human,3,2,,
12,3.0,0.02,0.3,0.01,2.0,0.4,0.8,0.3,2.5,15.0,2.0880300000000003,No value noise,human-vs-human,3,3,,
13,3.0,0.01,0.3,0.01,2.0,0.8,1.0,0.3,2.5,15.0,1.88992,No value noise,human-vs-human,3,4,,
14,3.0,0.02,0.3,0.01,2.0,0.8,0.8,0.5,2.5,15.0,1.9551800000000004,No value noise,human-vs-human,3,5,,
15,3.0,0.02,0.3,0.02,1.0,0.4,0.8,0.3,2.5,15.0,2.4140099999999998,No value noise,human-vs-human,4,1,,
16,10.0,0.01,0.3,0.03,1.0,0.4,1.0,0.3,3.5,15.0,2.57813,No value noise,human-vs-human,4,2,,
17,3.8534,0.019259,0.62463,0.021261,0.9977,0.31627,0.81308,0.28666,2.5359,12.424,2.28889,No value noise,human-vs-human,4,3,,
18,5.5707,0.012727,0.43658,0.086776,1.7634,0.44292,0.66338,0.3,3.5,15.0,1.9463599999999999,No value noise,human-vs-human,4,4,,
19,3.0,0.02,0.50038,0.03,1.0,0.4,0.8,0.0,3.5,10.0,2.43854,No value noise,human-vs-human,4,5,,
20,5.2645,0.025674,0.29565,0.020516,1.0463,0.72816,0.51358,0.56724,3.8215,14.283,1.93753,No value noise,human-vs-human,5,1,,
21,10.0,0.02,0.2,0.02,1.0,0.8,0.8,0.3,3.5,20.0,2.16405,No value noise,human-vs-human,5,2,,
22,3.1575,0.46256,0.2,0.020654,0.57892,0.45434,0.8,1.0,3.5,15.0,1.9918500000000001,No value noise,human-vs-human,5,3,,
23,6.425,0.029284,0.4,0.02,0.95833,0.8,0.64152,0.3,5.0,15.0,1.7374500000000002,No value noise,human-vs-human,5,4,,
24,10.0,0.0105,0.42625,0.02,1.0,0.4,0.44324,0.6,3.6348,-43.159,1.9514099999999999,No value noise,human-vs-human,5,5,,
25,9.0246,0.015,0.2,0.02,0.46348,0.75809,1.0,0.11282,5.0296,15.0,1.3509999999999998,No value noise,human-vs-human,6,1,,
26,3.0,0.01,0.2,0.02,0.5,1.0,0.8,0.3,2.5,15.0,1.5450899999999999,No value noise,human-vs-human,6,2,,
27,2.9307,0.001,0.29836,0.040001,1.0555,0.44444,1.3333,0.49999,3.3334,13.333,1.7591800000000002,No value noise,human-vs-human,6,3,,
28,5.8722,0.013332,0.2,0.02,0.5,0.4,0.8,0.5,3.5,20.0,0.976529,No value noise,human-vs-human,6,4,,
29,10.0,0.01,0.2,0.02,0.5,0.4,0.8,0.3,2.5,15.0,1.6527,No value noise,human-vs-human,6,5,,
30,5.0534,0.011289,0.28438,0.020011,1.1447,0.52724,0.99944,0.29964,4.4456,7.1571,2.02692,No value noise,human-vs-human,7,1,,
31,6.3744,0.028047,0.19834,0.01,1.1277,0.43829,0.99586,0.18956,4.676,14.967,2.1790199999999995,No value noise,human-vs-human,7,2,,
32,10.0,0.010001,0.44154,0.022798,1.2299,0.23371,0.86842,0.092879,4.8498,-35.078,2.7987200000000003,No value noise,human-vs-human,7,3,,
33,9.9999,0.019961,0.27478,0.020021,0.99952,0.39928,0.73463,0.30067,4.9982,-57.32,1.75974,No value noise,human-vs-human,7,4,,
34,10.0,0.020001,0.30007,0.018881,2.0002,0.40009,0.79988,0.30003,2.5002,15.001,2.36632,No value noise,human-vs-human,7,5,,
35,7.7146,0.001,0.58176,0.012641,1.0951,0.17989,-1.0119,0.99828,6.9351,15.227,1.6683299999999999,No value noise,human-vs-human,8,1,,
36,10.0,0.0010002,0.61092,0.021603,1.4681,0.19982,0.49994,0.62495,6.4076,14.751,2.4872699999999996,No value noise,human-vs-human,8,2,,
37,4.1854,0.18468,0.3,0.01,1.3333,0.99929,0.99929,0.40046,3.3346,14.994,1.9690100000000001,No value noise,human-vs-human,8,3,,
38,5.5003,0.017985,0.32897,0.03,2.1473,0.85774,0.8,1.5,4.4691,16.111,2.10664,No value noise,human-vs-human,8,4,,
39,3.006,0.16941,0.24907,0.01,1.0026,0.39784,1.0031,0.4719,4.215,29.951,2.1572199999999997,No value noise,human-vs-human,8,5,,
40,4.9954,0.020053,0.19898,0.030055,1.0871,0.62983,0.74585,0.66514,2.4976,4.3672,2.57605,No value noise,human-vs-human,9,1,,
41,6.7899,0.028651,0.50094,0.01,0.61454,0.074438,1.6067,0.75168,3.5618,15.499,3.18951,No value noise,human-vs-human,9,2,,
42,3.0,0.013782,0.4,0.02,1.0,0.8,1.0,0.3,2.5,15.0,3.3597099999999998,No value noise,human-vs-human,9,3,,
43,5.141,0.096719,0.53259,0.021871,0.96011,0.62198,1.801,0.31279,3.3185,18.741,2.6101,No value noise,human-vs-human,9,4,,
44,2.3708,0.015807,0.39656,0.026453,0.71768,0.0394,0.67736,0.50972,3.0646,32.581,2.36973,No value noise,human-vs-human,9,5,,
45,8.3333,0.020822,0.35269,0.01,1.0308,0.62882,0.87946,0.2362,4.3084,16.231,2.33206,No value noise,human-vs-human,10,1,,
46,6.548,0.017079,0.19979,0.020037,1.0025,0.047032,0.80011,0.29811,2.7097,14.977,2.84497,No value noise,human-vs-human,10,2,,
47,7.0476,0.001,0.56249,0.035063,0.68401,0.068648,1.0951,0.50415,5.6436,11.479,1.7771599999999999,No value noise,human-vs-human,10,3,,
48,9.5238,0.022127,0.53501,0.018918,1.6248,0.36847,0.96688,1.0166,2.558,5.8613,2.43242,No value noise,human-vs-human,10,4,,
49,10.0,0.014582,0.3,0.02,1.4943,0.8,1.1569,0.6,2.5,20.0,3.0647200000000003,No value noise,human-vs-human,10,5,,
50,2.7602,0.011533,0.29268,0.016751,1.1191,0.70515,0.97922,0.38844,3.8062,13.911,2.22125,No value noise,human-vs-human,11,1,,
51,4.7278,0.0039548,0.34565,0.02,1.9863,0.98261,1.0,0.4,3.7037,15.0,1.65993,No value noise,human-vs-human,11,2,,
52,6.5348,0.0052598,0.36842,0.021109,0.97203,0.41948,0.75033,0.26176,3.7799,21.899,1.9291399999999999,No value noise,human-vs-human,11,3,,
53,7.0,0.01,0.2,0.02,1.0,0.8,1.0,0.3,8.9765,30.0,1.92973,No value noise,human-vs-human,11,4,,
54,3.5381,0.013365,0.25117,0.033398,1.1158,0.91472,1.2587,0.60756,4.0492,20.052,1.80366,No value noise,human-vs-human,11,5,,
55,7.0,0.015804,0.63935,0.025542,1.0,0.8,1.0,0.3,3.5,15.0,1.77337,No value noise,human-vs-human,12,1,,
56,5.0,0.01,0.2,0.02,1.0,0.8,1.0,0.3,2.5,15.0,1.6131,No value noise,human-vs-human,12,2,,
57,10.0,0.02,0.2,0.023333,0.99999,0.8,0.32713,0.3,2.5,15.0,2.15798,No value noise,human-vs-human,12,3,,
58,9.9999,0.01,0.23509,0.021831,1.1035,0.8,0.50336,0.3,2.5,20.0,2.49916,No value noise,human-vs-human,12,4,,
59,10.0,0.022991,0.22794,0.02,1.2803,0.80001,0.56028,0.3,3.3333,9.9999,2.11628,No value noise,human-vs-human,12,5,,
60,5.0,0.02,0.2,0.01,2.0,0.8,1.0,0.3,3.5,15.0,2.28826,No value noise,human-vs-human,13,1,,
61,2.5167,0.24,0.4,0.15059,0.85782,0.28121,1.0,0.3,5.0,15.0,2.24242,No value noise,human-vs-human,13,2,,
62,3.0,0.02,0.2,0.02,1.0,0.4,1.0,0.3,2.5,15.0,2.50675,No value noise,human-vs-human,13,3,,
63,4.2585,0.026871,0.4129,0.030915,1.009,0.77941,1.5286,0.31487,4.9607,14.817,2.30926,No value noise,human-vs-human,13,4,,
64,7.0,0.02,0.3,0.02,1.0,0.4,0.8,0.3,3.5,15.0,2.45022,No value noise,human-vs-human,13,5,,
65,4.1352,0.02,0.31809,0.02,1.3831,0.4,0.8,0.3,2.5,10.0,1.7409199999999998,No value noise,human-vs-human,14,1,,
66,3.0,0.02,0.32551,0.06,1.4082,0.4,0.8,0.3,2.5,15.0,2.25332,No value noise,human-vs-human,14,2,,
67,4.0523,0.02,0.3,0.03,1.0617,0.4,0.8,0.5,4.6667,20.0,2.20849,No value noise,human-vs-human,14,3,,
68,3.0959,0.012543,0.35719,0.050884,1.1006,-0.052835,0.9177,0.56836,3.2907,1.672,2.1079299999999996,No value noise,human-vs-human,14,4,,
69,3.0,0.02,0.2,0.02,1.0,0.4,1.0,0.3,2.5,10.0,1.7914900000000002,No value noise,human-vs-human,14,5,,
70,5.0,0.02,0.3,0.01,1.0,0.4,1.0,0.3,2.5,15.0,1.93737,No value noise,human-vs-human,15,1,,
71,5.0,0.36921,0.3,0.03,0.9214,0.47641,0.76963,0.38759,5.0,15.0,1.75228,No value noise,human-vs-human,15,2,,
72,6.0745,0.27599,0.3,0.02,0.875,0.8,0.69802,0.76069,6.6362,117.81,1.8732499999999999,No value noise,human-vs-human,15,3,,
73,3.0,0.01,0.2,0.02,1.0,0.8,1.0,0.3,2.5,15.0,2.5042400000000002,No value noise,human-vs-human,15,4,,
74,5.0,0.017644,0.2,0.02,1.0,0.8,0.8,0.3,2.5,15.0,2.28747,No value noise,human-vs-human,15,5,,
75,7.0,0.01,0.23384,0.02,1.48,0.8,1.0,0.3,2.5,15.0,2.6592,No value noise,human-vs-human,16,1,,
76,2.8276,0.046588,0.22906,0.02039,0.69343,0.29562,0.43989,0.72715,4.8656,20.928,2.30185,No value noise,human-vs-human,16,2,,
77,8.0,0.02,0.46325,0.01,2.3566,0.4,0.43939,0.20952,2.5,20.0,1.75594,No value noise,human-vs-human,16,3,,
78,3.0,0.02,0.2,0.02,1.1451,0.66975,1.0,0.5,2.5,15.0,1.9445099999999997,No value noise,human-vs-human,16,4,,
79,3.55,0.13637,0.20814,0.023333,1.0,0.8,1.0,0.33333,5.0,15.0,2.1092500000000003,No value noise,human-vs-human,16,5,,
80,5.0,0.01441,0.22721,0.02,1.0,0.4,1.0,0.3,2.5,15.0,1.9310699999999996,No value noise,human-vs-human,17,1,,
81,7.6629,0.011886,0.44253,0.030756,0.9649,0.30447,0.78242,0.40953,3.4847,20.515,2.5050800000000004,No value noise,human-vs-human,17,2,,
82,4.9135,0.023413,0.4,0.01,0.95833,0.4,1.0466,0.27985,3.3333,15.0,2.5428500000000005,No value noise,human-vs-human,17,3,,
83,5.0,0.02,0.18288,0.022524,1.0,0.8,1.0,0.3,2.5,15.0,2.23177,No value noise,human-vs-human,17,4,,
84,7.0,0.02,0.3,0.02,1.0,0.8,0.8,0.3,2.5,15.0,2.68614,No value noise,human-vs-human,17,5,,
85,10.0,0.028978,0.1,0.02,0.99999,0.42805,1.1111,1.0823,2.5,30.0,2.06526,No value noise,human-vs-human,18,1,,
86,5.0,0.4915,0.2,0.02,1.0,0.8,0.8,0.5,2.5,15.0,2.55047,No value noise,human-vs-human,18,2,,
87,7.1889,0.20355,0.33321,0.01,2.3936,0.86863,1.0763,0.55043,2.4501,14.39,2.6674099999999994,No value noise,human-vs-human,18,3,,
88,5.85,0.13551,0.3,0.11798,1.9399,0.8,0.57575,0.3,2.5,15.0,2.4806800000000004,No value noise,human-vs-human,18,4,,
89,3.55,0.12,0.14689,0.02,1.0,0.4,1.0,0.5,3.5,15.0,2.82501,No value noise,human-vs-human,18,5,,
90,7.0,0.002,0.2,0.018333,1.2208,0.54365,0.73284,0.20929,3.5,14.21,1.8510099999999998,No value noise,human-vs-human,19,1,,
91,2.3448,0.001,0.28404,0.02,1.0,0.28116,1.0,0.89461,3.5,20.0,1.6759999999999997,No value noise,human-vs-human,19,2,,
92,6.0,0.001611,0.2,0.031122,1.0,0.4,0.8,1.1968,4.6667,10.0,1.48358,No value noise,human-vs-human,19,3,,
93,5.8421,0.01,0.3,0.02,1.0,0.8,1.0,0.3,2.5,15.0,1.55641,No value noise,human-vs-human,19,4,,
94,3.0,0.001,0.3,0.02,1.0,0.26256,0.63122,0.4,3.5,20.0,0.979461,No value noise,human-vs-human,19,5,,
95,5.5075,0.24017,0.16679,0.01,0.50018,0.40026,1.1167,0.59976,3.5008,19.996,1.92988,No value noise,human-vs-human,20,1,,
96,1.55,0.02,0.28333,0.018775,1.0,0.62996,1.0,1.0,3.3333,6.3859,1.9225699999999997,No value noise,human-vs-human,20,2,,
97,5.0,0.011051,0.29297,0.04,1.3723,0.48267,1.0,0.6,5.0,-135.0,2.2096,No value noise,human-vs-human,20,3,,
98,4.1419,0.24,0.3,0.02,0.5,0.34332,2.0,0.3,7.0,59.83,1.96526,No value noise,human-vs-human,20,4,,
99,5.0,0.015031,0.20915,0.036667,1.0,0.4,1.0,0.69288,4.8418,15.0,1.41363,No value noise,human-vs-human,20,5,,
100,7.0,0.005,0.3,0.01,1.0,0.4,1.0,0.3,3.5,10.0,1.47085,No value noise,human-vs-human,21,1,,
101,3.0,0.001,0.35581,0.01,1.0,0.4,1.0,0.3,4.6667,15.0,1.6176400000000002,No value noise,human-vs-human,21,2,,
102,7.2018,0.0022986,0.50787,0.03,1.0,0.4,0.8,0.14362,3.5,10.0,1.55804,No value noise,human-vs-human,21,3,,
103,7.1965,0.001,0.57866,0.023553,0.94947,0.39998,0.9886,0.30503,3.3168,14.909,1.6787500000000002,No value noise,human-vs-human,21,4,,
104,7.9217,0.001,0.57687,0.015986,1.0073,0.43855,1.0551,0.00023756,3.6265,12.937,1.5583799999999999,No value noise,human-vs-human,21,5,,
105,7.6933,0.01826,0.32974,0.01947,0.94615,0.70046,0.93845,0.27079,1.5769,17.313,2.3345400000000005,No value noise,human-vs-human,22,1,,
106,3.0,0.01,0.2,0.02,1.0,0.8,1.0,0.3,2.5,15.0,1.746,No value noise,human-vs-human,22,2,,
107,5.0,0.02,0.3,0.01,1.0,0.8,1.5,0.3,2.5,15.0,1.7435399999999999,No value noise,human-vs-human,22,3,,
108,4.9998,0.019997,0.30005,0.020002,0.62496,0.80008,1.4999,0.2342,2.5002,12.621,1.8744800000000001,No value noise,human-vs-human,22,4,,
109,5.0,0.01,0.3,0.02,1.0,0.8,1.0,0.3,2.5,15.0,1.8312199999999996,No value noise,human-vs-human,22,5,,
110,3.0,0.076813,0.32889,0.035,1.321,0.49931,1.1667,0.4,3.3333,20.0,1.85931,No value noise,human-vs-human,23,1,,
111,3.9985,0.073195,0.20001,0.03,1.9028,1.0667,1.0,0.49998,3.4999,15.0,2.3148500000000003,No value noise,human-vs-human,23,2,,
112,3.0,0.067816,0.3,0.02,2.0,0.5863,0.8,0.3,2.5,15.0,2.1897800000000003,No value noise,human-vs-human,23,3,,
113,4.4946,0.086914,0.20002,0.029997,2.0686,1.0001,1.0001,0.29995,2.5,14.999,1.82167,No value noise,human-vs-human,23,4,,
114,2.8359,0.057795,0.23548,0.024511,1.0013,0.37658,1.0015,0.30098,3.4966,14.436,2.02281,No value noise,human-vs-human,23,5,,
115,4.1836,0.012245,0.21893,0.49993,1.6567,0.53929,0.79991,0.3,2.4998,14.999,2.45615,No value noise,human-vs-human,24,1,,
116,8.7179,0.0099137,0.57582,0.024472,1.9934,-0.19645,1.0042,0.50313,4.0706,-46.717,2.60309,No value noise,human-vs-human,24,2,,
117,4.7112,0.02066,0.64393,0.020723,1.0857,0.33148,0.8881,0.66363,2.6713,-181.03,2.5474299999999994,No value noise,human-vs-human,24,3,,
118,6.425,0.02,0.50691,0.02,2.0,0.4,0.55502,0.3,2.5,-26.075,2.63901,No value noise,human-vs-human,24,4,,
119,5.8532,0.022533,0.21994,0.031669,1.766,0.58133,0.78338,0.29272,2.6093,-308.14,2.73534,No value noise,human-vs-human,24,5,,
120,5.0,0.071151,0.29263,0.021535,1.0895,0.76224,0.66121,0.33333,3.3333,15.0,2.11056,No value noise,human-vs-human,25,1,,
121,5.2036,0.01981,0.19767,0.020132,0.99422,0.25171,0.67805,0.42897,3.3185,5.2648,3.07434,No value noise,human-vs-human,25,2,,
122,2.8389,0.02,0.43949,0.02,1.1062,0.38142,0.61581,0.5,2.6093,15.0,2.12356,No value noise,human-vs-human,25,3,,
123,5.0,0.02,0.3,0.02,1.0,0.8,1.0,0.5,2.5,15.0,2.13652,No value noise,human-vs-human,25,4,,
124,3.0,0.016003,0.3,0.01,1.0,0.4,1.0,0.5,2.5,15.0,1.9735799999999997,No value noise,human-vs-human,25,5,,
125,5.6502,0.32683,0.19104,0.02109,0.98359,0.80071,0.93573,0.44498,3.3319,14.994,1.8213700000000004,No value noise,human-vs-human,26,1,,
126,10.0,0.02,0.38572,0.03,1.0236,0.8,0.72066,0.11394,3.3333,15.0,1.5189799999999998,No value noise,human-vs-human,26,2,,
127,5.0,0.02,0.31252,0.01,2.0,0.4,0.8,0.5,3.5,40.0,2.3550700000000004,No value noise,human-vs-human,26,3,,
128,7.0,0.01,0.2,0.01,1.0,0.8,0.8,0.3,2.5,15.0,1.82013,No value noise,human-vs-human,26,4,,
129,3.0,0.02,0.3,0.03,1.0,0.8,1.0,0.3,3.5,10.0,2.15829,No value noise,human-vs-human,26,5,,
130,8.975,0.009,0.4,0.01,0.5625,0.05,1.5,0.625,5.875,11.0,1.8279100000000004,No value noise,human-vs-human,27,1,,
131,5.0013,0.0075756,0.30027,0.13489,1.9995,0.40031,0.57297,0.29971,3.501,9.9975,1.7578600000000002,No value noise,human-vs-human,27,2,,
132,8.6825,0.0050514,0.48752,0.024288,0.61664,0.48094,1.072,0.31369,3.0443,21.162,1.2253599999999998,No value noise,human-vs-human,27,3,,
133,8.1537,0.001,0.3,0.02,0.5,0.4,1.4025,0.3,3.7166,17.222,2.9314799999999996,No value noise,human-vs-human,27,4,,
134,5.0,0.023333,0.3,0.01,0.39631,0.4,1.5,0.13511,3.3334,30.0,2.3239,No value noise,human-vs-human,27,5,,
135,3.0,0.02,0.2,0.02,1.0,0.8,1.0,0.3,2.5,15.0,2.07852,No value noise,human-vs-human,28,1,,
136,5.0,0.01,0.3,0.02,1.0,0.8,1.0,0.3,5.0,30.0,2.0577499999999995,No value noise,human-vs-human,28,2,,
137,7.2356,0.0044489,0.27823,0.01,1.2987,0.77697,0.39661,0.36944,3.8921,18.205,1.13954,No value noise,human-vs-human,28,3,,
138,10.0,0.005,0.3,0.04,0.875,0.8,1.0,0.3,7.0,40.0,2.08963,No value noise,human-vs-human,28,4,,
139,5.0,0.02,0.3,0.02,1.0,0.69761,0.45797,0.072393,4.1667,18.333,1.52374,No value noise,human-vs-human,28,5,,
140,6.8905,0.04,0.1496,0.020508,1.4582,0.8,0.99999,0.3,2.5,15.0,2.7318400000000005,No value noise,human-vs-human,29,1,,
141,9.6071,0.026667,0.3,0.06,2.0,0.34031,0.8,0.5,2.5,15.0,2.47227,No value noise,human-vs-human,29,2,,
142,5.0288,0.020318,0.40698,0.01,1.9768,0.30899,0.80993,0.49234,2.5109,15.116,2.4653,No value noise,human-vs-human,29,3,,
143,5.1616,0.027896,0.5644,0.041095,2.0688,0.33005,0.75071,0.40343,2.4042,14.562,2.6292299999999997,No value noise,human-vs-human,29,4,,
144,6.0088,0.02,0.46963,0.022988,2.0,0.4,1.0,0.3,2.5,15.0,2.4527099999999997,No value noise,human-vs-human,29,5,,
145,7.4033,0.020798,0.3,0.50619,1.3653,0.30806,0.4117,0.3,2.5,15.0,2.27883,No value noise,human-vs-human,30,1,,
146,8.4444,0.001,0.74444,0.22778,2.0,0.29746,0.8,0.5,3.5,20.0,2.3657999999999997,No value noise,human-vs-human,30,2,,
147,7.1904,0.001,0.65875,0.26269,2.726,0.4,0.8,0.28869,2.5,15.0,2.2973100000000004,No value noise,human-vs-human,30,3,,
148,8.0295,0.010572,0.55503,0.50003,2.2103,0.29293,-1.0037,0.46329,2.1912,28.776,2.6083499999999997,No value noise,human-vs-human,30,4,,
149,8.509,0.014781,0.68738,0.01,2.216,0.32665,-0.36147,0.60135,3.225,14.71,2.1426,No value noise,human-vs-human,30,5,,
150,2.8322,0.0071235,0.23529,0.02875,1.0888,0.40329,0.81975,0.51852,3.5,172.32,1.5830300000000002,No value noise,human-vs-human,31,1,,
151,2.7073,0.0082887,0.29763,0.01,0.99654,0.61306,1.0039,0.59743,4.1994,19.959,1.66113,No value noise,human-vs-human,31,2,,
152,3.8379,0.008933,0.23325,0.014823,1.1528,0.73885,0.94812,0.067105,3.6167,11.995,1.70012,No value noise,human-vs-human,31,3,,
153,2.2251,0.18965,0.1841,0.013826,0.72988,0.76539,1.3087,0.50066,5.3613,12.53,1.5682300000000002,No value noise,human-vs-human,31,4,,
154,6.0,0.01,0.2,0.02,1.0,0.55104,0.8,0.3,5.2093,30.0,1.50132,No value noise,human-vs-human,31,5,,
155,7.0,0.005,0.3,0.01,1.0,0.56211,0.8,0.3,2.5,20.0,1.6838899999999999,No value noise,human-vs-human,32,1,,
156,3.0,0.01,0.3,0.01,1.0,0.4,1.0,0.3,3.5,200.0,1.36638,No value noise,human-vs-human,32,2,,
157,5.0,0.01,0.3,0.01,1.0,0.8,0.8,0.0,2.5,15.0,1.63016,No value noise,human-vs-human,32,3,,
158,5.0,0.005,0.3,0.02,1.0,0.4,1.0,0.3,2.5,10.0,1.4527999999999999,No value noise,human-vs-human,32,4,,
159,7.0,0.005,0.2,0.02,1.0,0.4,1.0,0.5,2.5,20.0,1.75,No value noise,human-vs-human,32,5,,
160,4.1833,0.02,0.2,0.015,1.0,0.65368,1.0,0.15355,7.0,20.0,1.7411999999999999,No value noise,human-vs-human,33,1,,
161,1.55,0.04,0.33274,0.018333,0.95833,0.4,0.8,1.0,7.0,27.039,2.14371,No value noise,human-vs-human,33,2,,
162,2.4347,0.17825,0.33466,0.01,0.87481,0.63265,1.0002,0.29986,4.6662,30.002,1.9649899999999998,No value noise,human-vs-human,33,3,,
163,1.7566,0.033437,0.25,0.03,1.0,0.46403,0.61744,0.74535,3.5,15.0,1.9894299999999998,No value noise,human-vs-human,33,4,,
164,1.6319,0.013667,0.36667,0.027778,1.0208,0.16963,0.66811,0.44167,5.1666,15.083,1.8839700000000001,No value noise,human-vs-human,33,5,,
165,5.0,0.005,0.3,0.01,1.0,0.8,1.0,0.5,3.5,200.0,1.2305300000000001,No value noise,human-vs-human,34,1,,
166,5.4875,0.0052359,0.36021,0.018474,1.0022,0.35572,0.75028,0.25888,2.9756,15.506,1.85958,No value noise,human-vs-human,34,2,,
167,7.5541,0.005,0.3,0.02,0.99999,0.8,1.0,0.3,4.6667,10.0,1.46221,No value noise,human-vs-human,34,3,,
168,10.0,0.005,0.2,0.01,1.0,0.8,1.0,0.3,3.5,15.0,1.7589199999999998,No value noise,human-vs-human,34,4,,
169,3.0,0.01,0.2,0.02,1.0,0.8,1.0,0.3,2.5,15.0,1.6783000000000001,No value noise,human-vs-human,34,5,,
170,3.0,0.01,0.2,0.03,1.0,0.8,1.0,0.3,2.5,15.0,1.6611200000000004,No value noise,human-vs-human,35,1,,
171,3.0,0.01,0.2,0.02,1.0,0.8,1.0,0.3,2.5,15.0,1.84031,No value noise,human-vs-human,35,2,,
172,4.9918,0.022501,0.29834,0.016222,0.49861,0.29268,0.99723,0.3018,2.4964,0.5582,2.20789,No value noise,human-vs-human,35,3,,
173,3.0,0.02,0.3,0.02,2.0,0.4,1.0,0.3,2.5,15.0,1.82056,No value noise,human-vs-human,35,4,,
174,7.0,0.02,0.3,0.02,0.44761,0.4,1.5,0.23568,3.5,15.0,2.09609,No value noise,human-vs-human,35,5,,
175,5.0,0.01,0.2,0.02,2.0,0.4,1.0,0.5,2.5,15.0,2.1322099999999997,No value noise,human-vs-human,36,1,,
176,8.7043,0.001,0.70934,0.01,1.731,1.0319,1.5,-0.27001,2.0771,19.0,1.42177,No value noise,human-vs-human,36,2,,
177,3.0,0.01,0.3,0.01,1.0,0.8,1.0,0.5,2.5,15.0,1.99088,No value noise,human-vs-human,36,3,,
178,8.3143,0.001,0.6577,0.015875,2.0915,0.84325,1.1111,0.3,3.3333,20.0,1.7522299999999997,No value noise,human-vs-human,36,4,,
179,3.4721,0.020164,0.19802,0.020086,1.0208,0.79555,0.80388,0.60051,3.0738,14.966,2.04535,No value noise,human-vs-human,36,5,,
180,4.1847,0.019246,0.43793,0.025179,1.5298,-0.23959,0.82015,0.41501,2.4606,9.8759,2.6241200000000005,No value noise,human-vs-human,37,1,,
181,6.5519,0.020745,0.39168,0.01,2.1541,-0.56242,1.0503,0.35683,1.9896,14.092,2.2637,No value noise,human-vs-human,37,2,,
182,8.1667,0.019901,0.34693,0.03,2.1532,-0.25587,1.0,0.3,2.7778,15.0,1.9389399999999999,No value noise,human-vs-human,37,3,,
183,6.0764,0.019296,0.5,0.013333,2.0,-0.39557,1.0801,0.3,2.5,6.5628,2.0892400000000007,No value noise,human-vs-human,37,4,,
184,5.0,0.02,0.45437,0.032633,1.0,-1.0372,2.0,0.3,5.0,15.0,2.41385,No value noise,human-vs-human,37,5,,
185,3.1643,0.061979,0.37284,0.0427,0.68169,-1.4917,0.55799,1.5479,4.2835,12.763,2.0644199999999997,No value noise,human-vs-human,38,1,,
186,4.3872,0.017374,0.55509,0.021707,0.99238,-0.54862,-0.51174,1.0518,3.6555,40.725,2.26147,No value noise,human-vs-human,38,2,,
187,5.2604,0.028575,0.2275,0.019999,1.0,0.58792,-0.67955,0.7703,3.5002,13.332,2.71702,No value noise,human-vs-human,38,3,,
188,7.187,0.001,0.31552,0.1985,0.51428,-0.87118,0.21179,2.5699,3.4436,32.115,2.64919,No value noise,human-vs-human,38,4,,
189,4.9995,0.084163,0.28562,0.021585,1.0,0.79983,0.77979,1.307,4.6671,15.002,2.0340499999999997,No value noise,human-vs-human,38,5,,
190,3.0,0.02,0.3,0.02,0.78719,0.8,1.0,0.3,2.5,15.0,2.25219,No value noise,human-vs-human,39,1,,
191,2.3954,0.13559,0.28744,0.020419,1.0133,0.40242,1.0209,0.78534,2.5366,14.832,1.9342099999999998,No value noise,human-vs-human,39,2,,
192,7.0,0.01,0.2,0.02,1.0,0.8,1.0,0.3,2.5,15.0,2.15787,No value noise,human-vs-human,39,3,,
193,7.6643,0.017983,0.36084,0.01,0.62542,0.50124,1.4993,1.4522,2.501,15.601,2.1358800000000002,No value noise,human-vs-human,39,4,,
